He asked me to brush my teeth because he could smell the chicken I had for lunch.,relationship
She asked me to send a mirror selfie every time I went out.,relationship
He wanted my live location before we were officially dating.,relationship
She Venmo requested me for half the coffee after inviting me out.,relationship
He introduced me as "just a friend" after eight months together.,friendship
She asked for my phone password on our third date.,relationship
He wanted to FaceTime every night until we fell asleep.,relationship
She already knew my salary before our first date because she asked mutual friends.,career
He told me to stop liking other women's Instagram photos.,relationship
She canceled our date because Mercury was in retrograde.,relationship
He brought his mom to our first meeting without telling me.,family
She said she'd never date someone shorter than 6 feet.,relationship
He expected me to reply within five minutes, even during work.,relationship
She asked me to delete every dating app while she still had hers.,relationship
He ranked my friends from prettiest to least attractive.,friendship
She refused to split the bill because "the man should always pay.",relationship
He asked how much I had in savings on our second date.,relationship
She wanted to video call before I went to bed every night.,relationship
He said my laugh was too loud for restaurants.,relationship
She got upset because I didn't post her on Instagram after two weeks.,relationship
He asked me not to wear shorts around his friends.,friendship
She wanted me to stop talking to my female coworkers.,career
He expected good morning and good night texts every single day.,relationship
She asked if I'd convert religions before we even became exclusive.,relationship
He called me "wife material" after knowing me for three days.,relationship
She checked my phone while I was in the shower.,relationship
He still texted his ex every day because they were "best friends.",friendship
She expected me to share my location 24/7.,relationship
He refused to introduce me to his family after two years together.,family
She compared everything I did to her ex.,relationship
He got upset because I wanted one weekend to myself.,relationship
She expected me to ask permission before making plans with friends.,friendship
He joked about breaking up whenever we argued.,relationship
She expected me to pay for every vacation because I earned more.,relationship
He forgot my birthday but remembered his fantasy football draft.,relationship
She wanted access to my bank account after six months together.,relationship
He got jealous of my dog because I gave it too much attention.,relationship
She asked me to stop going to the gym because other women might look at me.,relationship
He insisted we share one social media account as a couple.,relationship
She got angry because I didn't answer while I was driving.,relationship
He expected me to cook every meal because "that's your thing.",relationship
She read every notification that popped up on my phone.,relationship
He refused to attend any of my family events.,family
She expected expensive gifts every month.,relationship
He wanted to know every person I had ever dated.,relationship
She got upset because I liked spending time alone.,relationship
He always ordered for me without asking what I wanted.,relationship
She criticized every outfit I wore.,relationship
He told me therapy was only for weak people.,relationship
She wanted me to stop hanging out with my childhood friends.,friendship
He expected me to move in with his parents immediately after marriage.,family
She said my parents couldn't visit without asking first.,family
His mom wanted a copy of our house keys.,family
She expected me to hand over my salary after marriage.,career
He wanted every decision approved by his parents.,family
She expected me to spend every festival with her family.,family
He wanted us to share one bank account and close the others.,relationship
She said she'd quit working whether we could afford it or not.,relationship
He expected me to cook for his entire family every weekend.,family
She refused to learn my family's language.,family
He told me my career would always come second to his.,relationship
She expected me to move cities without discussing it.,relationship
He wanted children within the first year no matter what.,relationship
She expected separate vacations with her family every year.,family
He asked me to stop eating meat after marriage because his family is vegetarian.,family
She wanted my parents to ask for permission before visiting.,family
He refused to help with housework because he worked full-time.,relationship
She expected me to buy a house before getting engaged.,relationship
He wanted his parents involved in every argument we had.,family
She wanted separate bedrooms because she values personal space.,relationship
He expected me to wear traditional clothes whenever his parents visited.,family
She wanted me to change my last name immediately.,relationship
He expected me to relocate overseas without asking what I wanted.,relationship
She wanted to plan our entire future before we got engaged.,relationship
He told me he wouldn't attend couples counseling if we ever needed it.,relationship
She unfollowed people from my Instagram without asking me.,relationship
He posted every fight we had as vague stories online.,relationship
She wanted me to stop being friends with my ex-roommate.,friendship
He read every group chat over my shoulder.,relationship
She expected me to answer calls even during work meetings.,career
He refused to take pictures of me on vacation.,relationship
She expected me to like every photo she posted.,relationship
He got upset because I went on a solo trip.,relationship
She asked me to remove every photo with my ex.,relationship
He always checked who viewed my Instagram stories.,relationship
She expected me to spend every weekend with her friends.,friendship
He secretly recorded our arguments.,relationship
She posted our private conversations online for advice.,relationship
He got upset because I muted our family WhatsApp group.,family
She expected me to ask before buying anything over $100.,relationship
He always joked about my appearance in front of friends.,friendship
She refused to attend my best friend's wedding.,friendship
He expected me to answer every call from his parents immediately.,family
She wanted me to delete every female contact I didn't actively talk to.,relationship
He used my phone to reply to people pretending to be me.,relationship
She got upset because I turned my read receipts off.,relationship
He refused to apologize because he believed the older partner never should.,relationship
She expected me to share every password "because couples shouldn't have secrets.",relationship
He blocked me after every argument and unblocked me the next day.,relationship
She said if I truly loved her, I'd never need time to myself.,relationship
